TemplateName,Industry,Goal,PrimaryText,Headline,Headline2,Headline3,Description,Description2,Description3,CTA,Budget,Currency,AgeMin,AgeMax,Interests,IsLocal,Radius,Objective,ConversionMethod
Pizza Special Offer,Restaurant,Get More Orders,Hungry? Order now and get 20% off your first pizza delivery! Fresh ingredients and hot delivery guaranteed.,Order Now & Save 20%,Fresh Pizza Delivered,Hungry? Order Now!,20% off first order,Fresh pizza fast,Hot delivery,Sign Up,500,INR,25,45,"Food,Pizza,Delivery",true,5,OUTCOME_LEADS,lead_form
Gym Free Trial,Fitness,Get New Members,Ready to transform your body? Join our gym today and get your first month absolutely FREE! Premium equipment included.,Join Now - First Month Free!,Transform Your Body Today,Limited Time Offer,First month FREE,Premium equipment,Expert trainers,Sign Up,800,INR,22,50,"Fitness,Gym,Health,Exercise",true,10,OUTCOME_LEADS,lead_form
Apartment Open House,Real Estate,Get Property Leads,Beautiful 3BHK apartment in prime location. Modern amenities and spacious layout. Schedule your viewing today!,View This Dream Home Today,Open House This Weekend,Your Perfect Home Awaits,3BHK prime location,Modern amenities,Schedule viewing,Sign Up,1000,INR,28,55,"Real estate,Property,Home",true,15,OUTCOME_LEADS,lead_form
Hair Salon Special,Beauty,Get New Clients,First visit? Get 50% off all salon services! Expert stylists using premium products. Book your transformation now!,New Client - 50% Off,Transform Your Look Today,Book Your Makeover Now,50% off first visit,Expert stylists,Book appointment,Sign Up,600,INR,20,45,"Beauty,Hair,Salon,Spa",true,8,OUTCOME_LEADS,lead_form
Plumbing Service,Home Services,Get Service Calls,Need plumbing repairs? We offer same-day service with upfront pricing! Licensed professionals and guaranteed work.,Same-Day Service Available,Expert Repairs Fair Prices,Call Now for Free Quote,Same-day service,Licensed plumbers,Free estimates,Sign Up,700,INR,30,60,"Home repair,Plumbing,Services",true,12,OUTCOME_LEADS,lead_form
Online Store Sale,Ecommerce,Drive Sales,Flash sale alert! Get 30% off everything plus free shipping on all orders. Limited time only - shop bestsellers now!,Shop Now & Get 30% Off,Limited Time Flash Sale,Free Shipping All Orders,30% off + free ship,Flash sale today,Shop bestsellers,Shop Now,1200,INR,22,45,"Shopping,Ecommerce,Fashion",false,0,OUTCOME_SALES,website
Dental Checkup Special,Healthcare,Get Patient Leads,New patients welcome! Complete dental exam and cleaning for just ₹999. Experienced dentists and gentle care.,New Patient Special - ₹999,Pain-Free Dentistry,Same-Day Appointments,₹999 exam special,Pain-free care,Book today,Sign Up,800,INR,25,55,"Dental,Healthcare,Health",true,10,OUTCOME_LEADS,lead_form
Online Course Promo,Education,Get Course Enrollments,Transform your career! Expert-led courses with live classes and lifetime access. Early bird discount - 40% off today!,Learn New Skills - Enroll Now,Free Demo Class Available,Limited Seats Left!,40% early bird off,Expert instructors,Free demo,Sign Up,900,INR,18,35,"Education,Learning,Career",false,0,OUTCOME_LEADS,lead_form
Car Test Drive,Automotive,Get Test Drive Bookings,Your dream car awaits! Schedule a test drive this weekend. Special financing available with great trade-in values.,Test Drive This Weekend,Special Financing Available,Trade-In Bonus Offer,Schedule test drive,Low rate financing,Trade-in bonus,Sign Up,1500,INR,28,55,"Cars,Automobiles,Vehicles",true,20,OUTCOME_LEADS,lead_form
Hotel Weekend Deal,Hospitality,Get Bookings,Escape the ordinary! Weekend getaway packages now 30% off. Luxury rooms and world-class amenities await you.,Weekend Escape - 30% Off,Book Now Relax Later,Luxury Stay Best Price,30% off weekends,Luxury rooms,Book getaway,Sign Up,1000,INR,25,50,"Travel,Hotels,Vacation",false,0,OUTCOME_LEADS,lead_form
